grade,All,Male,Female
None,141,46,95
1st - 4th grade,120,44,76
5th - 6th grade,167,47,120
7th - 8th grade,216,92,124
9th grade,151,68,83
10th grade,199,84,115
11th grade,398,206,191
High school graduate,2664,1187,1477
Some college,1771,898,873
"A.A. degree, occupational",361,167,194
"A.A. degree, academic",652,290,362
Bachelor's degree,5276,2349,2926
Master's degree,2803,1421,1381
Professional degree,367,201,166
Doctoral degree,727,438,289
